               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.082889,            0.024424,            0.022935,             0.42002,             0.79496,             0.58056,             0.14885,            0.080269,            0.015518,             0.01558,           0.0090694,           0.0090694,           0.0090694
                  49,            0.075364,            0.028784,             0.02331,             0.56105,             0.63548,             0.61477,             0.28234,            0.070512,            0.015896,             0.01516,           0.0090496,           0.0090496,           0.0090496
                  50,            0.073246,            0.024055,            0.021595,             0.24397,             0.56768,              0.3033,             0.12339,            0.082454,            0.015032,            0.015474,           0.0090298,           0.0090298,           0.0090298
                  51,            0.078993,            0.025539,            0.022275,             0.20603,              0.8095,             0.24595,            0.077286,            0.081254,            0.014967,            0.014846,             0.00901,             0.00901,             0.00901
                  52,            0.085454,            0.023006,            0.021561,             0.20603,              0.8095,             0.24595,            0.077286,            0.081254,            0.014967,            0.014846,           0.0089902,           0.0089902,           0.0089902
                  53,            0.078237,            0.024726,             0.02124,             0.26468,             0.67797,             0.35711,             0.11716,            0.073485,             0.01536,            0.014269,           0.0089704,           0.0089704,           0.0089704
                  54,               0.075,            0.024037,            0.021138,             0.37866,             0.81956,             0.58167,              0.1999,            0.077687,            0.014679,            0.014159,           0.0089506,           0.0089506,           0.0089506
                  55,            0.077102,            0.020507,            0.021513,             0.43376,             0.63432,              0.6325,              0.1862,            0.074628,            0.015659,            0.013129,           0.0089308,           0.0089308,           0.0089308
                  56,            0.075937,            0.023944,            0.020055,             0.43376,             0.63432,              0.6325,              0.1862,            0.074628,            0.015659,            0.013129,            0.008911,            0.008911,            0.008911
                  57,            0.074915,             0.02607,            0.019439,              0.4157,             0.74196,             0.58723,             0.19274,            0.073993,            0.015331,            0.012714,           0.0088912,           0.0088912,           0.0088912
                  58,            0.077667,            0.027626,             0.01854,             0.51065,             0.77801,              0.6556,             0.21955,            0.074271,            0.015408,            0.013078,           0.0088714,           0.0088714,           0.0088714
                  59,            0.078936,            0.022381,            0.019353,             0.64982,             0.68959,             0.74696,             0.32882,            0.083796,            0.014688,            0.012374,           0.0088516,           0.0088516,           0.0088516
                  60,            0.081244,            0.022673,            0.019608,             0.64982,             0.68959,             0.74696,             0.32882,            0.083796,            0.014688,            0.012374,           0.0088318,           0.0088318,           0.0088318
                  61,            0.078112,            0.024066,            0.018221,             0.70439,             0.87533,             0.86093,             0.37446,             0.07745,            0.014468,             0.01221,            0.008812,            0.008812,            0.008812
                  62,            0.072942,            0.026915,             0.01884,             0.71207,             0.86526,             0.83801,             0.38193,              0.0684,            0.015375,            0.012136,           0.0087922,           0.0087922,           0.0087922
                  63,            0.068322,             0.02476,            0.018197,             0.57313,             0.76291,             0.70508,             0.22318,            0.064315,            0.015621,            0.012613,           0.0087724,           0.0087724,           0.0087724
                  64,            0.068252,              0.0265,            0.018807,             0.57313,             0.76291,             0.70508,             0.22318,            0.064315,            0.015621,            0.012613,           0.0087526,           0.0087526,           0.0087526
                  65,            0.067729,            0.027001,            0.018909,             0.59057,             0.76346,             0.80115,             0.33391,            0.066353,            0.014851,            0.012832,           0.0087328,           0.0087328,           0.0087328
                  66,            0.070117,            0.024001,            0.017937,             0.61954,             0.86194,             0.64188,             0.25271,             0.06861,            0.015774,            0.011382,            0.008713,            0.008713,            0.008713
                  67,            0.072554,            0.021775,            0.018041,             0.57368,             0.79405,             0.68752,             0.27539,            0.063446,            0.014498,            0.011181,           0.0086932,           0.0086932,           0.0086932
                  68,            0.066665,            0.021576,            0.017123,             0.57368,             0.79405,             0.68752,             0.27539,            0.063446,            0.014498,            0.011181,           0.0086734,           0.0086734,           0.0086734
                  69,            0.063907,            0.025749,            0.018122,             0.69931,             0.79756,             0.81051,             0.35816,            0.058215,            0.014706,            0.011676,           0.0086536,           0.0086536,           0.0086536
                  70,            0.063138,            0.025435,            0.018628,             0.61727,             0.81301,             0.74333,             0.40742,            0.065056,            0.015106,            0.013948,           0.0086338,           0.0086338,           0.0086338
                  71,            0.067169,             0.02252,            0.017692,             0.57863,             0.77225,             0.67585,             0.29388,            0.065935,            0.015514,            0.012465,            0.008614,            0.008614,            0.008614
                  72,            0.067296,            0.022033,            0.015949,             0.57863,             0.77225,             0.67585,             0.29388,            0.065935,            0.015514,            0.012465,           0.0085942,           0.0085942,           0.0085942
                  73,            0.062254,            0.025174,            0.017525,              0.6876,             0.76537,             0.72481,             0.32888,            0.058977,            0.014547,            0.011949,           0.0085744,           0.0085744,           0.0085744
                  74,            0.063251,            0.020232,            0.016676,             0.57135,             0.72718,             0.69596,             0.27001,            0.071142,            0.015783,            0.011595,           0.0085546,           0.0085546,           0.0085546
                  75,            0.071939,            0.022723,            0.017292,             0.35347,             0.68363,             0.54611,             0.27325,             0.07433,            0.014254,            0.011924,           0.0085348,           0.0085348,           0.0085348
                  76,            0.074582,            0.024355,             0.01835,             0.35347,             0.68363,             0.54611,             0.27325,             0.07433,            0.014254,            0.011924,            0.008515,            0.008515,            0.008515
                  77,             0.07304,             0.02327,            0.017603,             0.52524,             0.71289,             0.68728,              0.3763,            0.069029,            0.013588,            0.011597,           0.0084952,           0.0084952,           0.0084952
